feature_id,phylum,discovery_method,reference_batch,reference_scan,precursor_mz,has_usable_ms2,n_peaks_total,n_peaks_above_threshold,n_diagnostic_fragments,n_neutral_losses,n_diagnostic_total,assigned_class,assigned_subclass,classification_confidence,classification_reasoning,diagnostic_ions_detail,intensity_threshold_pct
A15_100018,Streptophyta,indval_consensus,OE23-POS,100018,751.532616,True,119,42,0,3,3,Sphingolipid,Ceramide,Medium,Sphingoid base fragments,"loss:162.0528(Hexose_loss,100%); loss:180.0634(Hexose+H2O_loss,6%); loss:180.0634(Hexose_ceramide,6%)",5.0
A15_100229,Streptophyta,indval_consensus,OE23-POS,100229,738.551393,True,217,31,4,0,4,Terpenoid,Terpenoid,Low,4 terpenoid fragments → possible terpenoid/isoprenoid,"fragment:133.1011(Diterpene_frag,6%); fragment:135.1168(Diterpene_frag2,13%); fragment:147.1165(C11H15+,8%); fragment:149.1324(Sesterterpene_frag,7%)",5.0
A15_100283,Streptophyta,indval_consensus,OE23-POS,100283,782.534351,True,100,12,1,0,1,Sterol,Sterol,Medium,Sterol dehydration fragments,"fragment:397.3831(Sitosterol_-H2O,11%)",5.0
A15_100665,Streptophyta,indval_consensus,OE23-POS,100665,810.608058,True,20,20,1,0,1,Phospholipid,PC/SM,High,Phosphocholine at 38% → PC or SM,"fragment:184.0736(Phosphocholine_C5H13NO4P,38%)",5.0
A15_100788,Streptophyta,indval_consensus,OE23-POS,100788,771.534168,True,18,7,1,0,1,Phospholipid,PC/SM,High,Phosphocholine at 100% → PC or SM,"fragment:184.0733(Phosphocholine_C5H13NO4P,100%)",5.0
A15_100791,Streptophyta,indval_consensus,OE23-POS,100791,824.580196,True,48,18,1,0,1,Phospholipid,PC/SM,High,Phosphocholine at 70% → PC or SM,"fragment:184.0732(Phosphocholine_C5H13NO4P,70%)",5.0
A15_100852,Streptophyta,indval_consensus,OE23-POS,100852,818.558979,True,36,36,1,0,1,Phospholipid,PC/SM,High,Phosphocholine at 100% → PC or SM,"fragment:184.0732(Phosphocholine_C5H13NO4P,100%)",5.0
A15_100888,Nematoda,composite,OE23-POS,100888,459.302487,True,23,23,4,0,4,Terpenoid,Terpenoid,Low,4 terpenoid fragments → possible terpenoid/isoprenoid,"fragment:69.0707(Isoprene_unit,60%); fragment:81.0704(Monoterpene_frag,63%); fragment:95.0859(Methylcyclohexenyl,70%); fragment:149.1471(Sesterterpene_frag,63%)",5.0
A15_100890,Streptophyta,indval_consensus,OE23-POS,100890,590.446018,True,64,64,10,0,10,Terpenoid,Terpenoid,Medium,10 terpenoid fragments → terpenoid/isoprenoid,"fragment:69.0706(Isoprene_unit,15%); fragment:81.0705(Monoterpene_frag,20%); fragment:95.0861(Methylcyclohexenyl,26%); fragment:109.1019(Sesquiterpene_frag,15%); fragment:121.1016(Sesquiterpene_frag2,10%); fragment:123.1174(Sesquiterpene_frag3,15%); fragment:133.1013(Diterpene_frag,16%); fragment:135.1173(Diterpene_frag2,13%); fragment:147.1174(C11H15+,14%); fragment:161.1323(C12H17+,19%)",5.0
A15_10093,Streptophyta,indval_consensus,OE23-POS,10093,209.153434,True,71,20,4,0,4,Terpenoid,Terpenoid,Low,4 terpenoid fragments → possible terpenoid/isoprenoid,"fragment:69.0705(Isoprene_unit,5%); fragment:81.0705(Monoterpene_frag,8%); fragment:93.0704(Toluenium,6%); fragment:105.0703(Xylene_cation,5%)",5.0
A15_101184,Streptophyta,indval_consensus,OE23-POS,101184,750.55128,True,80,44,7,0,7,Terpenoid,Terpenoid,Medium,7 terpenoid fragments → terpenoid/isoprenoid,"fragment:109.1016(Sesquiterpene_frag,12%); fragment:121.1015(Sesquiterpene_frag2,7%); fragment:123.1170(Sesquiterpene_frag3,8%); fragment:133.1013(Diterpene_frag,9%); fragment:135.1171(Diterpene_frag2,13%); fragment:147.1171(C11H15+,10%); fragment:149.1330(Sesterterpene_frag,5%)",5.0
A15_10122,Streptophyta,indval_consensus,OE23-POS,10122,391.262341,True,151,122,1,0,1,Phospholipid,PI,Medium,Glycerophosphoinositol diagnostic ion,"fragment:241.0081(Glycerophosphoinositol,6%)",5.0
A15_101268,Streptophyta,indval_consensus,OE23-POS,101268,789.54595,True,29,11,1,0,1,Phospholipid,PC/SM,High,Phosphocholine at 57% → PC or SM,"fragment:184.0734(Phosphocholine_C5H13NO4P,57%)",5.0
A15_101686,Streptophyta,indval_consensus,OE23-POS,101686,673.512436,True,17,17,1,0,1,Phospholipid,PC/SM,High,Phosphocholine at 38% → PC or SM,"fragment:184.0732(Phosphocholine_C5H13NO4P,38%)",5.0
A15_10175,Streptophyta,indval_consensus,OE23-POS,10175,697.408308,True,201,33,5,0,5,Terpenoid,Terpenoid,Medium,5 terpenoid fragments → terpenoid/isoprenoid,"fragment:109.1015(Sesquiterpene_frag,10%); fragment:121.1014(Sesquiterpene_frag2,6%); fragment:123.1171(Sesquiterpene_frag3,7%); fragment:135.1168(Diterpene_frag2,5%); fragment:149.1328(Sesterterpene_frag,5%)",5.0
A15_101980,Streptophyta,indval_consensus,OE23-POS,101980,529.386521,True,84,50,15,0,15,Terpenoid,Terpenoid,Medium,15 terpenoid fragments → terpenoid/isoprenoid,"fragment:69.0706(Isoprene_unit,19%); fragment:81.0704(Monoterpene_frag,69%); fragment:93.0704(Toluenium,41%); fragment:95.0859(Methylcyclohexenyl,42%); fragment:105.0701(Xylene_cation,9%); fragment:107.0858(Dimethylcyclohexenyl,30%); fragment:109.1016(Sesquiterpene_frag,18%); fragment:119.0856(C9H11+,9%); fragment:121.1014(Sesquiterpene_frag2,32%); fragment:123.1170(Sesquiterpene_frag3,9%); fragment:133.1014(Diterpene_frag,17%); fragment:135.1168(Diterpene_frag2,30%); fragment:147.1172(C11H15+,9%); fragment:149.1323(Sesterterpene_frag,34%); fragment:161.1326(C12H17+,6%)",5.0
A15_102203,Streptophyta,indval_consensus,OE23-POS,102203,401.34128,True,84,54,16,0,16,Terpenoid,Terpenoid,Medium,16 terpenoid fragments → terpenoid/isoprenoid,"fragment:69.0706(Isoprene_unit,29%); fragment:81.0705(Monoterpene_frag,59%); fragment:93.0703(Toluenium,19%); fragment:95.0860(Methylcyclohexenyl,81%); fragment:105.0704(Xylene_cation,6%); fragment:107.0859(Dimethylcyclohexenyl,100%); fragment:109.1014(Sesquiterpene_frag,33%); fragment:119.0860(C9H11+,12%); fragment:121.1014(Sesquiterpene_frag2,25%); fragment:123.1171(Sesquiterpene_frag3,19%); fragment:133.1013(Diterpene_frag,8%); fragment:135.1165(Diterpene_frag2,23%); fragment:147.1171(C11H15+,13%); fragment:149.1327(Sesterterpene_frag,15%); fragment:161.1321(C12H17+,10%); fragment:175.1482(C13H19+,7%)",5.0
A15_102281,Streptophyta,indval_consensus,OE23-POS,102281,672.506044,True,101,86,1,0,1,Phospholipid,PC/SM,High,Phosphocholine at 22% → PC or SM,"fragment:184.0737(Phosphocholine_C5H13NO4P,22%)",5.0
